|   z |           k |           P |           e |
| 4.6 | 9.93927e-03 | 1.66466e+02 | 7.76520e+01 |
| 4.6 | 1.25128e-02 | 1.21930e+02 | 3.28227e+01 |
| 4.6 | 1.57527e-02 | 9.05829e+01 | 2.64519e+01 |
| 4.6 | 1.98315e-02 | 7.80834e+01 | 2.32717e+01 |
| 4.6 | 2.49663e-02 | 3.66222e+01 | 7.84176e+00 |
| 4.6 | 3.14307e-02 | 4.66488e+01 | 1.02773e+01 |
| 4.6 | 3.95689e-02 | 3.62192e+01 | 1.03574e+01 |
| 4.6 | 4.98144e-02 | 2.29482e+01 | 3.44039e+00 |
| 4.6 | 6.27126e-02 | 1.45877e+01 | 2.43739e+00 |
| 4.6 | 7.89504e-02 | 6.45893e+00 | 8.50832e-01 |
| 4.6 | 9.93927e-02 | 4.39607e+00 | 6.17098e-01 |
