|   z |           k |        P_ks |        P_xq |      P_metal |       P_fid |    estat_ks |    estat_xq | estat_metal | esyst_res_ks | esyst_res_xq |   esyst_dla |  esyst_cont | esyst_metal |
| 2.0 | 4.98144e-02 | 1.07795e+00 |         nan |  1.26116e-01 | 8.81775e-01 | 3.78925e-02 |         nan | 2.27919e-02 |  6.18528e-03 |          nan | 2.17495e-04 | 3.90843e-05 | 1.09941e-02 |
| 2.0 | 6.27126e-02 | 6.55929e-01 |         nan |  7.34059e-02 | 5.00950e-01 | 2.41353e-02 |         nan | 1.47869e-02 |  5.56924e-03 |          nan | 1.27226e-04 | 1.88994e-05 | 7.68322e-03 |
| 2.0 | 7.89504e-02 | 3.35221e-01 |         nan |  6.09117e-02 | 2.66496e-01 | 1.43606e-02 |         nan | 1.18160e-02 |  4.69560e-03 |          nan | 6.46588e-05 | 4.91762e-06 | 5.27112e-03 |
| 2.0 | 9.93927e-02 | 1.84745e-01 |         nan |  3.92647e-02 | 1.33727e-01 | 1.40806e-02 |         nan | 8.33919e-03 |  3.73439e-03 |          nan | 3.54885e-05 | 1.83228e-06 | 3.55007e-03 |
| 2.0 | 1.25128e-01 | 1.06928e-01 |         nan |  3.40016e-02 | 6.38724e-02 | 7.28745e-03 |         nan | 7.66759e-03 |  2.82693e-03 |          nan | 1.76085e-05 | 1.03567e-06 | 2.34718e-03 |
| 2.0 | 1.57527e-01 | 6.10921e-02 |         nan |  2.49671e-02 | 2.92940e-02 | 5.39382e-03 |         nan | 4.21551e-03 |  2.05485e-03 |          nan | 9.86746e-06 | 3.18724e-07 | 1.52346e-03 |
| 2.0 | 1.98315e-01 | 3.91747e-02 |         nan |  1.42444e-02 | 1.29949e-02 | 7.16822e-03 |         nan | 3.55164e-03 |  1.44469e-03 |          nan | 5.22206e-06 | 7.44367e-08 | 9.70709e-04 |
| 2.0 | 2.49663e-01 | 1.97688e-02 |         nan |  9.48647e-03 | 5.60630e-03 | 2.71632e-03 |         nan | 2.83718e-03 |  9.87820e-04 |          nan | 2.74874e-06 | 4.79000e-08 | 6.07188e-04 |
| 2.0 | 3.14307e-01 | 1.07807e-02 |         nan |  6.18761e-03 | 2.36141e-03 | 2.37665e-03 |         nan | 1.88723e-03 |  6.59436e-04 |          nan | 1.17555e-06 | 8.91320e-09 | 3.72848e-04 |
| 2.0 | 3.95690e-01 | 6.06186e-03 |         nan |  4.97374e-03 | 9.73657e-04 | 1.56727e-03 |         nan | 2.14072e-03 |  4.30932e-04 |          nan | 3.70462e-07 | 6.52675e-09 | 2.24758e-04 |
| 2.2 | 1.10000e-03 | 2.80758e+01 |         nan |  8.25159e+00 | 3.00511e+01 | 2.33304e+00 |         nan | 2.06607e+00 |  1.06843e-04 |          nan | 9.52028e-02 | 2.67116e+00 | 2.87590e-01 |
| 2.2 | 3.30000e-03 | 1.94114e+01 |         nan |  3.82264e+00 | 2.28908e+01 | 1.28264e+00 |         nan | 7.07819e-01 |  7.32468e-04 |          nan | 1.02346e-02 | 1.08292e-01 | 1.89547e-01 |
| 2.2 | 5.50000e-03 | 1.72121e+01 |         nan |  2.14248e+00 | 1.76424e+01 | 1.12862e+00 |         nan | 3.97369e-01 |  1.56814e-03 |          nan | 6.14785e-03 | 1.38816e-02 | 1.35303e-01 |
| 2.2 | 7.70000e-03 | 1.33330e+01 |         nan |  1.53670e+00 | 1.41222e+01 | 8.42961e-01 |         nan | 2.66300e-01 |  2.46028e-03 |          nan | 4.78954e-03 | 5.92279e-03 | 1.03109e-01 |
| 2.2 | 9.93927e-03 | 1.15591e+01 |         nan |  1.99280e+00 | 1.15695e+01 | 7.48715e-01 |         nan | 2.84359e-01 |  3.35834e-03 |          nan | 3.31694e-03 | 8.33307e-03 | 8.17201e-02 |
| 2.2 | 1.25128e-02 | 9.80935e+00 |         nan |  1.54151e+00 | 9.41687e+00 | 5.09598e-01 |         nan | 2.73779e-01 |  4.33228e-03 |          nan | 2.50503e-03 | 2.67700e-03 | 6.49825e-02 |
| 2.2 | 1.57527e-02 | 7.67814e+00 |         nan |  9.69967e-01 | 7.44524e+00 | 3.84800e-01 |         nan | 1.35086e-01 |  5.42860e-03 |          nan | 2.03147e-03 | 1.55086e-03 | 5.07269e-02 |
| 2.2 | 1.98315e-02 | 5.64258e+00 |         nan |  5.84266e-01 | 5.68404e+00 | 2.58672e-01 |         nan | 1.02695e-01 |  6.56852e-03 |          nan | 1.55339e-03 | 8.37858e-04 | 3.88736e-02 |
| 2.2 | 2.49663e-02 | 4.38091e+00 |         nan |  5.61375e-01 | 4.15813e+00 | 1.88725e-01 |         nan | 7.50482e-02 |  7.61568e-03 |          nan | 1.05706e-03 | 9.37103e-04 | 2.92447e-02 |
| 2.2 | 3.14307e-02 | 2.94574e+00 |         nan |  2.61508e-01 | 2.88869e+00 | 1.06288e-01 |         nan | 4.72969e-02 |  8.38512e-03 |          nan | 7.21061e-04 | 1.87362e-04 | 2.15980e-02 |
| 2.2 | 3.95689e-02 | 2.00912e+00 |         nan |  1.99249e-01 | 1.88896e+00 | 7.22116e-02 |         nan | 3.30703e-02 |  8.69024e-03 |          nan | 4.88812e-04 | 5.33451e-05 | 1.56587e-02 |
| 2.2 | 4.98144e-02 | 1.23028e+00 |         nan |  1.40954e-01 | 1.15518e+00 | 4.44126e-02 |         nan | 1.89817e-02 |  8.42288e-03 |          nan | 2.84932e-04 | 5.12029e-05 | 1.11448e-02 |
| 2.2 | 6.27126e-02 | 7.03803e-01 |         nan |  9.88797e-02 | 6.59363e-01 | 2.45484e-02 |         nan | 1.41950e-02 |  7.61964e-03 |          nan | 1.67458e-04 | 2.48758e-05 | 7.78687e-03 |
| 2.2 | 7.89504e-02 | 4.12238e-01 |         nan |  6.54136e-02 | 3.52418e-01 | 1.53287e-02 |         nan | 9.58273e-03 |  6.45456e-03 |          nan | 8.55056e-05 | 6.50312e-06 | 5.34108e-03 |
| 2.2 | 9.93927e-02 | 1.93184e-01 |         nan |  4.37989e-02 | 1.77673e-01 | 9.97372e-03 |         nan | 5.62749e-03 |  5.15740e-03 |          nan | 4.71511e-05 | 2.43442e-06 | 3.59642e-03 |
| 2.2 | 1.25128e-01 | 1.00396e-01 |         nan |  3.25519e-02 | 8.52618e-02 | 7.00762e-03 |         nan | 4.89474e-03 |  3.92251e-03 |          nan | 2.35051e-05 | 1.38249e-06 | 2.37731e-03 |
| 2.2 | 1.57527e-01 | 5.32164e-02 |         nan |  2.01755e-02 | 3.92878e-02 | 4.64728e-03 |         nan | 3.23662e-03 |  2.86462e-03 |          nan | 1.32338e-05 | 4.27458e-07 | 1.54269e-03 |
| 2.2 | 1.98315e-01 | 3.08562e-02 |         nan |  1.42184e-02 | 1.75101e-02 | 3.91062e-03 |         nan | 2.25745e-03 |  2.02348e-03 |          nan | 7.03651e-06 | 1.00301e-07 | 9.82750e-04 |
| 2.2 | 2.49663e-01 | 1.75200e-02 |         nan |  6.77818e-03 | 7.58978e-03 | 2.64451e-03 |         nan | 1.52745e-03 |  1.39008e-03 |          nan | 3.72123e-06 | 6.48468e-08 | 6.14588e-04 |
| 2.2 | 3.14307e-01 | 9.85943e-03 |         nan |  2.81485e-03 | 3.21190e-03 | 2.05246e-03 |         nan | 7.98536e-04 |  9.32336e-04 |          nan | 1.59894e-06 | 1.21234e-08 | 3.77311e-04 |
| 2.2 | 3.95690e-01 | 6.28415e-03 |         nan |  2.76690e-05 | 1.33056e-03 | 1.25298e-03 |         nan | 7.26891e-04 |  6.12128e-04 |          nan | 5.06257e-07 | 8.91916e-09 | 2.27400e-04 |
| 2.4 | 1.10000e-03 | 3.25142e+01 |         nan |  4.03467e+00 | 3.60040e+01 | 2.32275e+00 |         nan | 1.08013e+00 |  1.43047e-04 |          nan | 1.14062e-01 | 3.20030e+00 | 2.92265e-01 |
| 2.4 | 3.30000e-03 | 2.53837e+01 |         nan |  2.48687e+00 | 2.80079e+01 | 1.69055e+00 |         nan | 5.09999e-01 |  1.00150e-03 |          nan | 1.25225e-02 | 1.32501e-01 | 1.92443e-01 |
| 2.4 | 5.50000e-03 | 1.89986e+01 |         nan |  1.07923e+00 | 2.17984e+01 | 1.25245e+00 |         nan | 2.37570e-01 |  2.16518e-03 |          nan | 7.59607e-03 | 1.71516e-02 | 1.37309e-01 |
| 2.4 | 7.70000e-03 | 1.83950e+01 |         nan |  9.99214e-01 | 1.75617e+01 | 1.31249e+00 |         nan | 2.09071e-01 |  3.41894e-03 |          nan | 5.95602e-03 | 7.36527e-03 | 1.04606e-01 |
| 2.4 | 9.93927e-03 | 1.50065e+01 |         nan |  9.94654e-01 | 1.44577e+01 | 1.00615e+00 |         nan | 1.49937e-01 |  4.68976e-03 |          nan | 4.14498e-03 | 1.04133e-02 | 8.28888e-02 |
| 2.4 | 1.25128e-02 | 1.17925e+01 |         nan |  9.89836e-01 | 1.18196e+01 | 6.65924e-01 |         nan | 1.64524e-01 |  6.07656e-03 |          nan | 3.14420e-03 | 3.36006e-03 | 6.58985e-02 |
| 2.4 | 1.57527e-02 | 9.54189e+00 |         nan |  6.23673e-01 | 9.38619e+00 | 5.25643e-01 |         nan | 9.40928e-02 |  7.64788e-03 |          nan | 2.56107e-03 | 1.95516e-03 | 5.14316e-02 |
| 2.4 | 1.98315e-02 | 7.06047e+00 |         nan |  3.26237e-01 | 7.19750e+00 | 3.35363e-01 |         nan | 6.14722e-02 |  9.29468e-03 |          nan | 1.96700e-03 | 1.06095e-03 | 3.94057e-02 |
| 2.4 | 2.49663e-02 | 5.76092e+00 |         nan |  4.66670e-01 | 5.28855e+00 | 2.47307e-01 |         nan | 6.77710e-02 |  1.08240e-02 |          nan | 1.34443e-03 | 1.19186e-03 | 2.96390e-02 |
| 2.4 | 3.14307e-02 | 3.66882e+00 |         nan |  2.10716e-01 | 3.69022e+00 | 1.42151e-01 |         nan | 2.94070e-02 |  1.19703e-02 |          nan | 9.21137e-04 | 2.39350e-04 | 2.18848e-02 |
| 2.4 | 3.95689e-02 | 2.59972e+00 |         nan |  2.55677e-01 | 2.42375e+00 | 9.20002e-02 |         nan | 5.18792e-02 |  1.24606e-02 |          nan | 6.27203e-04 | 6.84480e-05 | 1.58634e-02 |
| 2.4 | 4.98144e-02 | 1.63136e+00 |         nan |  1.72966e-01 | 1.48878e+00 | 6.00963e-02 |         nan | 2.22683e-02 |  1.21306e-02 |          nan | 3.67216e-04 | 6.59893e-05 | 1.12882e-02 |
| 2.4 | 6.27126e-02 | 8.71805e-01 |         nan |  1.16132e-01 | 8.53527e-01 | 2.89611e-02 |         nan | 1.41167e-02 |  1.10222e-02 |          nan | 2.16770e-04 | 3.22011e-05 | 7.88551e-03 |
| 2.4 | 7.89504e-02 | 4.40994e-01 |         nan |  8.66443e-02 | 4.58210e-01 | 1.90547e-02 |         nan | 1.13372e-02 |  9.37816e-03 |          nan | 1.11173e-04 | 8.45529e-06 | 5.40765e-03 |
| 2.4 | 9.93927e-02 | 2.24496e-01 |         nan |  6.01687e-02 | 2.32029e-01 | 1.08487e-02 |         nan | 7.13077e-03 |  7.52652e-03 |          nan | 6.15761e-05 | 3.17919e-06 | 3.64051e-03 |
| 2.4 | 1.25128e-01 | 1.16765e-01 |         nan |  4.39246e-02 | 1.11838e-01 | 7.58754e-03 |         nan | 5.72394e-03 |  5.74964e-03 |          nan | 3.08316e-05 | 1.81341e-06 | 2.40597e-03 |
| 2.4 | 1.57527e-01 | 6.12754e-02 |         nan |  2.66895e-02 | 5.17613e-02 | 5.87903e-03 |         nan | 3.52695e-03 |  4.21752e-03 |          nan | 1.74354e-05 | 5.63172e-07 | 1.56097e-03 |
| 2.4 | 1.98315e-01 | 3.51041e-02 |         nan |  1.53735e-02 | 2.31713e-02 | 3.59429e-03 |         nan | 1.94363e-03 |  2.99228e-03 |          nan | 9.31148e-06 | 1.32729e-07 | 9.94197e-04 |
| 2.4 | 2.49663e-01 | 1.91129e-02 |         nan |  1.01539e-02 | 1.00880e-02 | 2.34886e-03 |         nan | 1.58149e-03 |  2.06470e-03 |          nan | 4.94608e-06 | 8.61912e-08 | 6.21621e-04 |
| 2.4 | 3.14307e-01 | 1.27283e-02 |         nan |  4.87061e-03 | 4.28796e-03 | 2.29235e-03 |         nan | 9.47905e-04 |  1.39092e-03 |          nan | 2.13462e-06 | 1.61850e-08 | 3.81552e-04 |
| 2.4 | 3.95690e-01 | 8.30550e-03 |         nan |  2.40694e-03 | 1.78417e-03 | 1.74999e-03 |         nan | 5.56882e-04 |  9.17252e-04 |          nan | 6.78849e-07 | 1.19599e-08 | 2.29910e-04 |
| 2.6 | 1.10000e-03 | 3.63805e+01 |         nan |  5.23423e+00 | 4.26926e+01 | 2.68686e+00 |         nan | 1.35278e+00 |  1.76245e-04 |          nan | 1.35251e-01 | 3.79483e+00 | 2.96743e-01 |
| 2.6 | 3.30000e-03 | 3.12944e+01 |         nan |  1.93810e+00 | 3.38759e+01 | 2.08297e+00 |         nan | 3.49479e-01 |  1.25863e-03 |          nan | 1.51461e-02 | 1.60261e-01 | 1.95214e-01 |
| 2.6 | 5.50000e-03 | 2.37338e+01 |         nan |  1.00928e+00 | 2.66095e+01 | 1.62544e+00 |         nan | 1.79961e-01 |  2.74626e-03 |          nan | 9.27261e-03 | 2.09372e-02 | 1.39228e-01 |
| 2.6 | 7.70000e-03 | 1.81511e+01 |         nan |  9.81194e-01 | 2.15683e+01 | 1.46338e+00 |         nan | 1.85483e-01 |  4.36288e-03 |          nan | 7.31486e-03 | 9.04562e-03 | 1.06039e-01 |
| 2.6 | 9.93927e-03 | 1.70833e+01 |         nan |  1.20504e+00 | 1.78381e+01 | 1.09859e+00 |         nan | 1.64867e-01 |  6.01224e-03 |          nan | 5.11414e-03 | 1.28481e-02 | 8.40059e-02 |
| 2.6 | 1.25128e-02 | 1.41738e+01 |         nan |  1.02302e+00 | 1.46440e+01 | 9.07887e-01 |         nan | 1.42817e-01 |  7.82248e-03 |          nan | 3.89551e-03 | 4.16295e-03 | 6.67740e-02 |
| 2.6 | 1.57527e-02 | 1.05774e+01 |         nan |  5.73916e-01 | 1.16775e+01 | 5.79982e-01 |         nan | 8.02237e-02 |  9.88632e-03 |          nan | 3.18625e-03 | 2.43244e-03 | 5.21050e-02 |
| 2.6 | 1.98315e-02 | 8.15954e+00 |         nan |  3.11283e-01 | 8.99176e+00 | 3.78673e-01 |         nan | 5.51404e-02 |  1.20651e-02 |          nan | 2.45735e-03 | 1.32543e-03 | 3.99141e-02 |
| 2.6 | 2.49663e-02 | 6.20385e+00 |         nan |  3.86804e-01 | 6.63443e+00 | 2.97210e-01 |         nan | 4.75601e-02 |  1.41088e-02 |          nan | 1.68657e-03 | 1.49518e-03 | 3.00157e-02 |
| 2.6 | 3.14307e-02 | 4.36371e+00 |         nan |  1.63569e-01 | 4.64862e+00 | 1.80956e-01 |         nan | 2.24987e-02 |  1.56679e-02 |          nan | 1.16037e-03 | 3.01512e-04 | 2.21587e-02 |
| 2.6 | 3.95689e-02 | 2.96802e+00 |         nan |  1.53687e-01 | 3.06594e+00 | 1.20014e-01 |         nan | 2.32817e-02 |  1.63776e-02 |          nan | 7.93384e-04 | 8.65837e-05 | 1.60589e-02 |
| 2.6 | 4.98144e-02 | 1.78534e+00 |         nan |  1.29312e-01 | 1.89108e+00 | 6.19453e-02 |         nan | 1.61890e-02 |  1.60102e-02 |          nan | 4.66446e-04 | 8.38211e-05 | 1.14252e-02 |
| 2.6 | 6.27126e-02 | 1.00567e+00 |         nan |  9.10067e-02 | 1.08868e+00 | 3.11359e-02 |         nan | 1.09644e-02 |  1.46079e-02 |          nan | 2.76492e-04 | 4.10728e-05 | 7.97966e-03 |
| 2.6 | 7.89504e-02 | 5.21776e-01 |         nan |  6.47502e-02 | 5.86884e-01 | 2.04901e-02 |         nan | 8.67987e-03 |  1.24807e-02 |          nan | 1.42393e-04 | 1.08297e-05 | 5.47117e-03 |
| 2.6 | 9.93927e-02 | 2.53986e-01 |         nan |  4.31216e-02 | 2.98425e-01 | 1.13421e-02 |         nan | 5.56585e-03 |  1.00582e-02 |          nan | 7.91962e-05 | 4.08892e-06 | 3.68257e-03 |
| 2.6 | 1.25128e-01 | 1.28154e-01 |         nan |  3.31108e-02 | 1.44439e-01 | 6.67400e-03 |         nan | 4.55242e-03 |  7.71564e-03 |          nan | 3.98193e-05 | 2.34203e-06 | 2.43331e-03 |
| 2.6 | 1.57527e-01 | 6.98451e-02 |         nan |  2.11728e-02 | 6.71284e-02 | 4.83097e-03 |         nan | 2.92993e-03 |  5.68320e-03 |          nan | 2.26117e-05 | 7.30369e-07 | 1.57841e-03 |
| 2.6 | 1.98315e-01 | 3.51099e-02 |         nan |  1.47259e-02 | 3.01756e-02 | 2.91032e-03 |         nan | 1.86903e-03 |  4.04896e-03 |          nan | 1.21262e-05 | 1.72850e-07 | 1.00511e-03 |
| 2.6 | 2.49663e-01 | 2.04682e-02 |         nan |  6.35427e-03 | 1.31921e-02 | 2.20530e-03 |         nan | 1.01747e-03 |  2.80544e-03 |          nan | 6.46800e-06 | 1.12713e-07 | 6.28326e-04 |
| 2.6 | 3.14307e-01 | 1.05705e-02 |         nan |  3.75498e-03 | 5.63073e-03 | 1.82448e-03 |         nan | 6.59767e-04 |  1.89781e-03 |          nan | 2.80307e-06 | 2.12533e-08 | 3.85594e-04 |
| 2.6 | 3.95690e-01 | 5.13236e-03 |         nan |  1.94611e-03 | 2.35263e-03 | 1.22065e-03 |         nan | 5.11723e-04 |  1.25672e-03 |          nan | 8.95140e-07 | 1.57705e-08 | 2.32301e-04 |
| 2.8 | 1.10000e-03 | 4.50712e+01 |         nan |  3.69015e+00 | 5.01595e+01 | 3.52186e+00 |         nan | 1.16881e+00 |  1.92040e-04 |          nan | 1.58907e-01 | 4.45854e+00 | 3.01041e-01 |
| 2.8 | 3.30000e-03 | 3.36315e+01 |         nan |  1.79001e+00 | 4.05540e+01 | 2.66328e+00 |         nan | 3.76222e-01 |  1.39738e-03 |          nan | 1.81319e-02 | 1.91854e-01 | 1.97872e-01 |
| 2.8 | 5.50000e-03 | 2.56095e+01 |         nan |  1.02701e+00 | 3.21341e+01 | 1.86016e+00 |         nan | 2.26901e-01 |  3.07570e-03 |          nan | 1.11978e-02 | 2.52841e-02 | 1.41067e-01 |
| 2.8 | 7.70000e-03 | 2.46752e+01 |         nan |  8.52451e-01 | 2.61962e+01 | 1.54113e+00 |         nan | 1.79349e-01 |  4.91444e-03 |          nan | 8.88442e-03 | 1.09866e-02 | 1.07411e-01 |
| 2.8 | 9.93927e-03 | 1.80081e+01 |         nan |  1.32417e+00 | 2.17603e+01 | 1.24193e+00 |         nan | 3.52955e-01 |  6.80184e-03 |          nan | 6.23860e-03 | 1.56731e-02 | 8.50765e-02 |
| 2.8 | 1.25128e-02 | 1.65612e+01 |         nan |  1.07947e+00 | 1.79341e+01 | 1.02966e+00 |         nan | 2.29414e-01 |  8.88468e-03 |          nan | 4.77075e-03 | 5.09827e-03 | 6.76128e-02 |
| 2.8 | 1.57527e-02 | 1.35268e+01 |         nan |  5.46955e-01 | 1.43574e+01 | 7.59373e-01 |         nan | 1.09964e-01 |  1.12730e-02 |          nan | 3.91750e-03 | 2.99068e-03 | 5.27500e-02 |
| 2.8 | 1.98315e-02 | 9.78063e+00 |         nan |  3.24944e-01 | 1.10989e+01 | 4.98169e-01 |         nan | 8.12582e-02 |  1.38115e-02 |          nan | 3.03321e-03 | 1.63604e-03 | 4.04010e-02 |
| 2.8 | 2.49663e-02 | 8.13747e+00 |         nan |  4.16839e-01 | 8.22139e+00 | 3.25256e-01 |         nan | 6.95970e-02 |  1.62146e-02 |          nan | 2.09000e-03 | 1.85283e-03 | 3.03764e-02 |
| 2.8 | 3.14307e-02 | 5.12607e+00 |         nan |  2.11265e-01 | 5.78326e+00 | 2.16161e-01 |         nan | 3.88061e-02 |  1.80773e-02 |          nan | 1.44359e-03 | 3.75105e-04 | 2.24210e-02 |
